dataset_slug,scale,effective_line_count,decompression_materialization_ms,original_artifacts_ms,qidx2_build_ms,qidx3_build_ms,qidx_json_build_ms,stage_dataset_ms,static_artifacts_ms,static_decompression_materialization_ms,total_preprocessing_ms,raw_bytes,compressed_bytes,decompressed_bytes,static_compressed_bytes,static_decompressed_bytes,qidx_json_bytes,qidx2_bytes,qidx3_bytes
linux,100k,25567,0.000000,892.149542,0.000000,5872.192667,0.000000,0.134375,183.691416,0.000000,6948.168000,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,179.290625,0.000000,11374.694625,0.000000,0.072250,327.886500,0.000000,11881.944000,5135877,552192,5135877,2831280,5135877,,,17106992
linux,100k,25567,0.000000,0.000000,0.000000,0.368791,0.000000,0.537500,0.000000,0.000000,0.906291,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,0.000000,0.000000,0.206125,0.000000,0.353667,0.000000,0.000000,0.559792,5135877,552192,5135877,2831280,5135877,,,17106992
linux,100k,25567,0.000000,0.000000,0.000000,6010.153875,0.000000,11.511500,0.000000,0.000000,6021.665375,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,0.000000,0.000000,12759.099084,0.000000,17.779750,0.000000,0.000000,12776.878834,5135877,552192,5135877,2831280,5135877,,,17106992
linux,100k,25567,0.000000,0.000000,0.000000,2712.107041,0.000000,9.419542,0.000000,0.000000,2721.526583,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,0.000000,0.000000,6183.623834,0.000000,16.964958,0.000000,0.000000,6200.588792,5135877,552192,5135877,2831280,5135877,,,17106992
linux,100k,25567,0.000000,0.000000,0.000000,0.313500,0.000000,11.067542,0.000000,0.000000,11.381042,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,0.000000,0.000000,0.382708,0.000000,19.558791,0.000000,0.000000,19.941499,5135877,552192,5135877,2831280,5135877,,,17106992
linux,100k,25567,0.000000,0.000000,0.000000,0.220083,0.000000,9.037041,0.000000,0.000000,9.257124,2349446,410240,2349446,1628512,2349446,,,8018248
apache,100k,56482,0.000000,0.000000,0.000000,0.323833,0.000000,17.354834,0.000000,0.000000,17.678667,5135877,552192,5135877,2831280,5135877,,,17106992
